,Exercise,URL,Main Muscle Group,Type,Equipment,Picture_A,Picture_B
263,Cable Lateral Raise,https://www.jefit.com/exercises/19/Cable-Lateral-Raise,Shoulders,Strength,Machine - Strength,https://www.jefit.com/images/exercises/1080_664/76.jpg,https://www.jefit.com/images/exercises/1080_664/77.jpg
264,Cable Leg Kickback,https://www.jefit.com/exercises/1313/Cable-Leg-Kickback,Glutes,Strength,Machine - Strength,https://www.jefit.com/images/exercises/1080_664/5252.jpg,https://www.jefit.com/images/exercises/1080_664/5253.jpg
265,Cable Low Tricep Extension,https://www.jefit.com/exercises/232/Cable-Low-Tricep-Extension,Triceps,Strength,Machine - Strength,https://www.jefit.com/images/exercises/1080_664/928.jpg,https://www.jefit.com/images/exercises/1080_664/929.jpg
266,Cable Lower Chest Raise,https://www.jefit.com/exercises/1059/Cable-Lower-Chest-Raise,Chest,Strength,Machine - Strength,https://www.jefit.com/images/exercises/1080_664/4236.jpg,https://www.jefit.com/images/exercises/1080_664/4237.jpg
267,Cable Lying Tricep Extension,https://www.jefit.com/exercises/226/Cable-Lying-Tricep-Extension,Triceps,Strength,Machine - Strength,https://www.jefit.com/images/exercises/1080_664/904.jpg,https://www.jefit.com/images/exercises/1080_664/905.jpg
268,Cable Mid Chest Crossover,https://www.jefit.com/exercises/1057/Cable-Mid-Chest-Crossover,Chest,Strength,Machine - Strength,https://www.jefit.com/images/exercises/1080_664/4228.jpg,https://www.jefit.com/images/exercises/1080_664/4229.jpg
269,Cable One Arm Preacher Curl,https://www.jefit.com/exercises/1282/Cable-One-Arm-Preacher-Curl,Biceps,Strength,"Bench, Machine - Strength",https://www.jefit.com/images/exercises/1080_664/5128.jpg,https://www.jefit.com/images/exercises/1080_664/5129.jpg
270,Cable One-Arm Concentration Curl,https://www.jefit.com/exercises/1335/Cable-One-Arm-Concentration-Curl,Biceps,Strength,Machine - Strength,https://www.jefit.com/images/exercises/1080_664/5340.jpg,https://www.jefit.com/images/exercises/1080_664/5341.jpg
271,Cable One-Arm High Curl,https://www.jefit.com/exercises/708/Cable-One-Arm-High-Curl,Biceps,Strength,Machine - Strength,https://www.jefit.com/images/exercises/1080_664/2832.jpg,https://www.jefit.com/images/exercises/1080_664/2833.jpg
272,Cable One-Arm Incline Press,https://www.jefit.com/exercises/729/Cable-One-Arm-Incline-Press,Chest,Strength,Bench,https://www.jefit.com/images/exercises/1080_664/2916.jpg,https://www.jefit.com/images/exercises/1080_664/2917.jpg
273,Cable One-Arm Lat Pulldown,https://www.jefit.com/exercises/825/Cable-One-Arm-Lat-Pulldown,Back,Strength,Machine - Strength,https://www.jefit.com/images/exercises/1080_664/3300.jpg,https://www.jefit.com/images/exercises/1080_664/3301.jpg
274,Cable One-Arm Lateral Raise,https://www.jefit.com/exercises/1127/Cable-One-Arm-Lateral-Raise,Shoulders,Strength,Machine - Strength,https://www.jefit.com/images/exercises/1080_664/4508.jpg,https://www.jefit.com/images/exercises/1080_664/4509.jpg
275,Cable One-Arm Pulley Side Bend,https://www.jefit.com/exercises/792/Cable-One-Arm-Pulley-Side-Bend,Abs,Strength,Machine - Strength,https://www.jefit.com/images/exercises/1080_664/3168.jpg,https://www.jefit.com/images/exercises/1080_664/3169.jpg
276,Cable One-Arm Reverse Curl,https://www.jefit.com/exercises/1090/Cable-One-Arm-Reverse-Curl,Forearm,Strength,Machine - Strength,https://www.jefit.com/images/exercises/1080_664/4360.jpg,https://www.jefit.com/images/exercises/1080_664/4361.jpg
277,Cable One-Arm Reverse Fly,https://www.jefit.com/exercises/1133/Cable-One-Arm-Reverse-Fly,Shoulders,Strength,Machine - Strength,https://www.jefit.com/images/exercises/1080_664/4532.jpg,https://www.jefit.com/images/exercises/1080_664/4533.jpg
278,Cable One-Arm Reverse Grip Tricep Extension,https://www.jefit.com/exercises/1185/Cable-One-Arm-Reverse-Grip-Tricep-Extension,Triceps,Strength,Machine - Strength,https://www.jefit.com/images/exercises/1080_664/4740.jpg,https://www.jefit.com/images/exercises/1080_664/4741.jpg
279,Cable One-Arm Reverse Preacher Curl,https://www.jefit.com/exercises/1283/Cable-One-Arm-Reverse-Preacher-Curl,Biceps,Strength,Bench,https://www.jefit.com/images/exercises/1080_664/5132.jpg,https://www.jefit.com/images/exercises/1080_664/5133.jpg
280,Cable One-Arm Seated Row,https://www.jefit.com/exercises/1041/Cable-One-Arm-Seated-Row,Back,Strength,Bench,https://www.jefit.com/images/exercises/1080_664/4164.jpg,https://www.jefit.com/images/exercises/1080_664/4165.jpg
281,Cable One-Arm Tricep Extension,https://www.jefit.com/exercises/225/Cable-One-Arm-Tricep-Extension,Triceps,Strength,Machine - Strength,https://www.jefit.com/images/exercises/1080_664/900.jpg,https://www.jefit.com/images/exercises/1080_664/901.jpg
282,Cable One-Arm Tricep Extension,https://www.jefit.com/exercises/1179/Cable-One-Arm-Tricep-Extension,Triceps,Strength,Machine - Strength,https://www.jefit.com/images/exercises/1080_664/4716.jpg,https://www.jefit.com/images/exercises/1080_664/4717.jpg
283,Cable One-Arm Tricep Pushdown,https://www.jefit.com/exercises/1334/Cable-One-Arm-Tricep-Pushdown,Triceps,Strength,Machine - Strength,https://www.jefit.com/images/exercises/1080_664/5336.jpg,https://www.jefit.com/images/exercises/1080_664/5337.jpg
284,Cable Overhead Curl,https://www.jefit.com/exercises/96/Cable-Overhead-Curl,Biceps,Strength,Machine - Strength,https://www.jefit.com/images/exercises/1080_664/384.jpg,https://www.jefit.com/images/exercises/1080_664/385.jpg
285,Cable Pallof Press with Rotation,https://www.jefit.com/exercises/794/Cable-Pallof-Press-with-Rotation,Abs,Strength,Machine - Strength,https://www.jefit.com/images/exercises/1080_664/3176.jpg,https://www.jefit.com/images/exercises/1080_664/3177.jpg
286,Cable Palm Rotational Row,https://www.jefit.com/exercises/1034/Cable-Palm-Rotational-Row,Back,Strength,Machine - Strength,https://www.jefit.com/images/exercises/1080_664/4136.jpg,https://www.jefit.com/images/exercises/1080_664/4137.jpg
287,Cable Preacher Curl,https://www.jefit.com/exercises/256/Cable-Preacher-Curl,Biceps,Strength,Machine - Strength,https://www.jefit.com/images/exercises/1080_664/1024.jpg,https://www.jefit.com/images/exercises/1080_664/1025.jpg
288,Cable Pull Through,https://www.jefit.com/exercises/393/Cable-Pull-Through,Glutes,Strength,Machine - Strength,https://www.jefit.com/images/exercises/1080_664/1572.jpg,https://www.jefit.com/images/exercises/1080_664/1573.jpg
289,Cable Pulldown Bicep Curl,https://www.jefit.com/exercises/1027/Cable-Pulldown-Bicep-Curl,Biceps,Strength,Machine - Strength,https://www.jefit.com/images/exercises/1080_664/4108.jpg,https://www.jefit.com/images/exercises/1080_664/4109.jpg
290,Cable Rear Lateral Raise,https://www.jefit.com/exercises/20/Cable-Rear-Lateral-Raise,Shoulders,Strength,Machine - Strength,https://www.jefit.com/images/exercises/1080_664/80.jpg,https://www.jefit.com/images/exercises/1080_664/81.jpg
291,Cable Reverse Crunch,https://www.jefit.com/exercises/787/Cable-Reverse-Crunch,Abs,Strength,Machine - Strength,https://www.jefit.com/images/exercises/1080_664/3148.jpg,https://www.jefit.com/images/exercises/1080_664/3149.jpg
292,Cable Reverse Curl,https://www.jefit.com/exercises/104/Cable-Reverse-Curl,Biceps,Strength,Machine - Strength,https://www.jefit.com/images/exercises/1080_664/416.jpg,https://www.jefit.com/images/exercises/1080_664/417.jpg
293,Cable Reverse Curl,https://www.jefit.com/exercises/704/Cable-Reverse-Curl,Biceps,Strength,Machine - Strength,https://www.jefit.com/images/exercises/1080_664/416.jpg,https://www.jefit.com/images/exercises/1080_664/417.jpg
294,Cable Reverse Fly,https://www.jefit.com/exercises/1106/Cable-Reverse-Fly,Shoulders,Strength,Machine - Strength,https://www.jefit.com/images/exercises/1080_664/4424.jpg,https://www.jefit.com/images/exercises/1080_664/4425.jpg
295,Cable Reverse Grip Curl,https://www.jefit.com/exercises/774/Cable-Reverse-Grip-Curl,Biceps,Strength,Machine - Strength,https://www.jefit.com/images/exercises/1080_664/416.jpg,https://www.jefit.com/images/exercises/1080_664/417.jpg
296,Cable Reverse Grip Curl,https://www.jefit.com/exercises/1088/Cable-Reverse-Grip-Curl,Forearm,Strength,Machine - Strength,https://www.jefit.com/images/exercises/1080_664/416.jpg,https://www.jefit.com/images/exercises/1080_664/417.jpg
297,Cable Reverse Grip Tricep Extension,https://www.jefit.com/exercises/775/Cable-Reverse-Grip-Tricep-Extension,Triceps,Strength,Machine - Strength,https://www.jefit.com/images/exercises/1080_664/3100.jpg,https://www.jefit.com/images/exercises/1080_664/3101.jpg
298,Cable Reverse Grip Tricep Kickback,https://www.jefit.com/exercises/1182/Cable-Reverse-Grip-Tricep-Kickback,Triceps,Strength,Machine - Strength,https://www.jefit.com/images/exercises/1080_664/4728.jpg,https://www.jefit.com/images/exercises/1080_664/4729.jpg
299,Cable Reverse Grip Tricep Pushdown,https://www.jefit.com/exercises/157/Cable-Reverse-Grip-Tricep-Pushdown,Triceps,Strength,Machine - Strength,https://www.jefit.com/images/exercises/1080_664/628.jpg,https://www.jefit.com/images/exercises/1080_664/629.jpg
300,Cable Reverse Grip Wrist Curl,https://www.jefit.com/exercises/1089/Cable-Reverse-Grip-Wrist-Curl,Forearm,Strength,Bench,https://www.jefit.com/images/exercises/1080_664/4356.jpg,https://www.jefit.com/images/exercises/1080_664/4357.jpg
301,Cable Reverse One-Arm Tricep Extension,https://www.jefit.com/exercises/1188/Cable-Reverse-One-Arm-Tricep-Extension,Triceps,Strength,Machine - Strength,https://www.jefit.com/images/exercises/1080_664/4752.jpg,https://www.jefit.com/images/exercises/1080_664/4753.jpg
302,Cable Reverse Preacher Curl,https://www.jefit.com/exercises/1281/Cable-Reverse-Preacher-Curl,Biceps,Strength,Bench,https://www.jefit.com/images/exercises/1080_664/4336.jpg,https://www.jefit.com/images/exercises/1080_664/4337.jpg
303,Cable Reverse Preacher Curl,https://www.jefit.com/exercises/1084/Cable-Reverse-Preacher-Curl,Forearm,Strength,Bench,https://www.jefit.com/images/exercises/1080_664/4336.jpg,https://www.jefit.com/images/exercises/1080_664/4337.jpg
304,Cable Reverse Wood Chop,https://www.jefit.com/exercises/745/Cable-Reverse-Wood-Chop,Abs,Strength,Machine - Strength,https://www.jefit.com/images/exercises/1080_664/2980.jpg,https://www.jefit.com/images/exercises/1080_664/2981.jpg
305,Cable Rope Crossover Seated Row,https://www.jefit.com/exercises/1049/Cable-Rope-Crossover-Seated-Row,Back,Strength,Machine - Strength,https://www.jefit.com/images/exercises/1080_664/4196.jpg,https://www.jefit.com/images/exercises/1080_664/4197.jpg
306,Cable Rope Crunch,https://www.jefit.com/exercises/795/Cable-Rope-Crunch,Abs,Strength,Machine - Strength,https://www.jefit.com/images/exercises/1080_664/316.jpg,https://www.jefit.com/images/exercises/1080_664/317.jpg
307,Cable Rope Deltoid Row,https://www.jefit.com/exercises/402/Cable-Rope-Deltoid-Row,Shoulders,Strength,Machine - Strength,https://www.jefit.com/images/exercises/1080_664/1608.jpg,https://www.jefit.com/images/exercises/1080_664/1609.jpg
308,Cable Rope Extension Incline Row,https://www.jefit.com/exercises/1039/Cable-Rope-Extension-Incline-Row,Back,Strength,Bench,https://www.jefit.com/images/exercises/1080_664/4156.jpg,https://www.jefit.com/images/exercises/1080_664/4157.jpg
309,Cable Rope Face Pull,https://www.jefit.com/exercises/874/Cable-Rope-Face-Pull,Shoulders,Strength,Machine - Strength,https://www.jefit.com/images/exercises/1080_664/3496.jpg,https://www.jefit.com/images/exercises/1080_664/3497.jpg
310,Cable Rope Hammer Curl,https://www.jefit.com/exercises/257/Cable-Rope-Hammer-Curl,Biceps,Strength,Machine - Strength,https://www.jefit.com/images/exercises/1080_664/1028.jpg,https://www.jefit.com/images/exercises/1080_664/1029.jpg
311,Cable Rope Hammer Preacher Curl,https://www.jefit.com/exercises/1293/Cable-Rope-Hammer-Preacher-Curl,Biceps,Strength,Bench,https://www.jefit.com/images/exercises/1080_664/5172.jpg,https://www.jefit.com/images/exercises/1080_664/5173.jpg
312,Cable Rope High Pulley Tricep Extension,https://www.jefit.com/exercises/1171/Cable-Rope-High-Pulley-Tricep-Extension,Triceps,Strength,Machine - Strength,https://www.jefit.com/images/exercises/1080_664/4684.jpg,https://www.jefit.com/images/exercises/1080_664/4685.jpg
313,Cable Rope Incline Tricep Extension,https://www.jefit.com/exercises/1173/Cable-Rope-Incline-Tricep-Extension,Triceps,Strength,Bench,https://www.jefit.com/images/exercises/1080_664/4692.jpg,https://www.jefit.com/images/exercises/1080_664/4693.jpg
314,Cable Rope Lat Pulldown,https://www.jefit.com/exercises/1244/Cable-Rope-Lat-Pulldown,Back,Strength,Machine - Strength,https://www.jefit.com/images/exercises/1080_664/4976.jpg,https://www.jefit.com/images/exercises/1080_664/4977.jpg
315,Cable Rope One-Arm Hammer Preacher Curl,https://www.jefit.com/exercises/1294/Cable-Rope-One-Arm-Hammer-Preacher-Curl,Biceps,Strength,Bench,https://www.jefit.com/images/exercises/1080_664/5176.jpg,https://www.jefit.com/images/exercises/1080_664/5177.jpg
316,Cable Rope Overhead Tricep Extension,https://www.jefit.com/exercises/155/Cable-Rope-Overhead-Tricep-Extension,Triceps,Strength,Machine - Strength,https://www.jefit.com/images/exercises/1080_664/620.jpg,https://www.jefit.com/images/exercises/1080_664/621.jpg
317,Cable Rope Pull-Up,https://www.jefit.com/exercises/1245/Cable-Rope-Pull-Up,Back,Strength,Machine - Strength,https://www.jefit.com/images/exercises/1080_664/4980.jpg,https://www.jefit.com/images/exercises/1080_664/4981.jpg
318,Cable Rope Row to Neck,https://www.jefit.com/exercises/423/Cable-Rope-Row-to-Neck,Shoulders,Strength,Machine - Strength,https://www.jefit.com/images/exercises/1080_664/1692.jpg,https://www.jefit.com/images/exercises/1080_664/1693.jpg
319,Cable Rope Seated Row,https://www.jefit.com/exercises/1050/Cable-Rope-Seated-Row,Back,Strength,Bench,https://www.jefit.com/images/exercises/1080_664/4200.jpg,https://www.jefit.com/images/exercises/1080_664/4201.jpg
320,Cable Rope Seated Row,https://www.jefit.com/exercises/1298/Cable-Rope-Seated-Row,Back,Strength,Machine - Strength,https://www.jefit.com/images/exercises/1080_664/4200.jpg,https://www.jefit.com/images/exercises/1080_664/4201.jpg
321,Cable Rope Supine Pullover,https://www.jefit.com/exercises/1062/Cable-Rope-Supine-Pullover,Chest,Strength,Bench,https://www.jefit.com/images/exercises/1080_664/4248.jpg,https://www.jefit.com/images/exercises/1080_664/4249.jpg
322,Cable Rope Supine Tricep Extension,https://www.jefit.com/exercises/1177/Cable-Rope-Supine-Tricep-Extension,Triceps,Strength,Machine - Strength,https://www.jefit.com/images/exercises/1080_664/4708.jpg,https://www.jefit.com/images/exercises/1080_664/4709.jpg
323,Cable Rope Triceps Pushdown,https://www.jefit.com/exercises/159/Cable-Rope-Triceps-Pushdown,Triceps,Strength,Machine - Strength,https://www.jefit.com/images/exercises/1080_664/636.jpg,https://www.jefit.com/images/exercises/1080_664/637.jpg
324,Cable Rotation on Stability Ball,https://www.jefit.com/exercises/736/Cable-Rotation-on-Stability-Ball,Abs,Strength,Machine - Strength,https://www.jefit.com/images/exercises/1080_664/2944.jpg,https://www.jefit.com/images/exercises/1080_664/2945.jpg
325,Cable Rotational Crunch,https://www.jefit.com/exercises/1002/Cable-Rotational-Crunch,Abs,Strength,Machine - Strength,https://www.jefit.com/images/exercises/1080_664/4008.jpg,https://www.jefit.com/images/exercises/1080_664/4009.jpg
326,Cable Rotational Crunch,https://www.jefit.com/exercises/997/Cable-Rotational-Crunch,Abs,Strength,Machine - Strength,https://www.jefit.com/images/exercises/1080_664/3988.jpg,https://www.jefit.com/images/exercises/1080_664/3989.jpg
327,Cable Row to Neck,https://www.jefit.com/exercises/1157/Cable-Row-to-Neck,Shoulders,Strength,Machine - Strength,https://www.jefit.com/images/exercises/1080_664/4628.jpg,https://www.jefit.com/images/exercises/1080_664/4629.jpg
328,Cable Russian Twist,https://www.jefit.com/exercises/788/Cable-Russian-Twist,Abs,Strength,Machine - Strength,https://www.jefit.com/images/exercises/1080_664/3152.jpg,https://www.jefit.com/images/exercises/1080_664/3153.jpg
329,Cable Seated Crunch,https://www.jefit.com/exercises/72/Cable-Seated-Crunch,Abs,Strength,Machine - Strength,https://www.jefit.com/images/exercises/1080_664/288.jpg,https://www.jefit.com/images/exercises/1080_664/289.jpg
330,Cable Seated Curl,https://www.jefit.com/exercises/1028/Cable-Seated-Curl,Biceps,Strength,Bench,https://www.jefit.com/images/exercises/1080_664/4112.jpg,https://www.jefit.com/images/exercises/1080_664/4113.jpg
331,Cable Seated Overhead Curl,https://www.jefit.com/exercises/1277/Cable-Seated-Overhead-Curl,Biceps,Strength,Machine - Strength,https://www.jefit.com/images/exercises/1080_664/5108.jpg,https://www.jefit.com/images/exercises/1080_664/5109.jpg
332,Cable Seated Row,https://www.jefit.com/exercises/21/Cable-Seated-Row,Back,Strength,Machine - Strength,https://www.jefit.com/images/exercises/1080_664/84.jpg,https://www.jefit.com/images/exercises/1080_664/85.jpg
333,Cable Seated Shoulder Press,https://www.jefit.com/exercises/879/Cable-Seated-Shoulder-Press,Shoulders,Strength,Machine - Strength,https://www.jefit.com/images/exercises/1080_664/3516.jpg,https://www.jefit.com/images/exercises/1080_664/3517.jpg
334,Cable Seated Shrug,https://www.jefit.com/exercises/1159/Cable-Seated-Shrug,Back,Strength,Bench,https://www.jefit.com/images/exercises/1080_664/4636.jpg,https://www.jefit.com/images/exercises/1080_664/4637.jpg
335,Cable Shoulder Press,https://www.jefit.com/exercises/869/Cable-Shoulder-Press,Shoulders,Strength,Machine - Strength,https://www.jefit.com/images/exercises/1080_664/3476.jpg,https://www.jefit.com/images/exercises/1080_664/3477.jpg
336,Cable Shrug,https://www.jefit.com/exercises/22/Cable-Shrug,Back,Strength,Machine - Strength,https://www.jefit.com/images/exercises/1080_664/88.jpg,https://www.jefit.com/images/exercises/1080_664/89.jpg
337,Cable Side Bend,https://www.jefit.com/exercises/680/Cable-Side-Bend,Abs,Strength,Machine - Strength,https://www.jefit.com/images/exercises/1080_664/2720.jpg,https://www.jefit.com/images/exercises/1080_664/2721.jpg
338,Cable Side Lateral Raise,https://www.jefit.com/exercises/400/Cable-Side-Lateral-Raise,Shoulders,Strength,Machine - Strength,https://www.jefit.com/images/exercises/1080_664/76.jpg,https://www.jefit.com/images/exercises/1080_664/77.jpg
339,Cable Single-Leg Calf Raise,https://www.jefit.com/exercises/1234/Cable-Single-Leg-Calf-Raise,Lower Legs,Strength,Machine - Strength,https://www.jefit.com/images/exercises/1080_664/4936.jpg,https://www.jefit.com/images/exercises/1080_664/4937.jpg
340,Cable Single-Leg Knee Raise,https://www.jefit.com/exercises/989/Cable-Single-Leg-Knee-Raise,Abs,Strength,Bench,https://www.jefit.com/images/exercises/1080_664/3956.jpg,https://www.jefit.com/images/exercises/1080_664/3957.jpg
341,Cable Squat to Curl,https://www.jefit.com/exercises/1032/Cable-Squat-to-Curl,Biceps,Strength,Machine - Strength,https://www.jefit.com/images/exercises/1080_664/4128.jpg,https://www.jefit.com/images/exercises/1080_664/4129.jpg
342,Cable Stability Ball Incline Fly,https://www.jefit.com/exercises/1284/Cable-Stability-Ball-Incline-Fly,Chest,Strength,Exercise Ball,https://www.jefit.com/images/exercises/1080_664/5136.jpg,https://www.jefit.com/images/exercises/1080_664/5137.jpg
343,Cable Stability Ball One-Arm Fly,https://www.jefit.com/exercises/1287/Cable-Stability-Ball-One-Arm-Fly,Chest,Strength,Exercise Ball,https://www.jefit.com/images/exercises/1080_664/5148.jpg,https://www.jefit.com/images/exercises/1080_664/5149.jpg
344,Cable Stability Ball One-Arm Incline Fly,https://www.jefit.com/exercises/1289/Cable-Stability-Ball-One-Arm-Incline-Fly,Chest,Strength,Exercise Ball,https://www.jefit.com/images/exercises/1080_664/5156.jpg,https://www.jefit.com/images/exercises/1080_664/5157.jpg
345,Cable Stability Ball One-Arm Press ,https://www.jefit.com/exercises/1288/Cable-Stability-Ball-One-Arm-Press-,Chest,Strength,Exercise Ball,https://www.jefit.com/images/exercises/1080_664/5152.jpg,https://www.jefit.com/images/exercises/1080_664/5153.jpg
346,Cable Stability Ball Press ,https://www.jefit.com/exercises/1285/Cable-Stability-Ball-Press-,Chest,Strength,Exercise Ball,https://www.jefit.com/images/exercises/1080_664/5140.jpg,https://www.jefit.com/images/exercises/1080_664/5141.jpg
347,Cable Standing Behind the Back Wrist Curl,https://www.jefit.com/exercises/1097/Cable-Standing-Behind-the-Back-Wrist-Curl,Forearm,Strength,Machine - Strength,https://www.jefit.com/images/exercises/1080_664/4388.jpg,https://www.jefit.com/images/exercises/1080_664/4389.jpg
348,Cable Standing Crunch,https://www.jefit.com/exercises/994/Cable-Standing-Crunch,Abs,Strength,Machine - Strength,https://www.jefit.com/images/exercises/1080_664/3976.jpg,https://www.jefit.com/images/exercises/1080_664/3977.jpg
349,Cable Standing Curl,https://www.jefit.com/exercises/703/Cable-Standing-Curl,Biceps,Strength,Machine - Strength,https://www.jefit.com/images/exercises/1080_664/2812.jpg,https://www.jefit.com/images/exercises/1080_664/2813.jpg
350,Cable Standing Deltoid Raise,https://www.jefit.com/exercises/452/Cable-Standing-Deltoid-Raise,Shoulders,Strength,Machine - Strength,https://www.jefit.com/images/exercises/1080_664/1808.jpg,https://www.jefit.com/images/exercises/1080_664/1809.jpg
351,Cable Standing Leg Curl,https://www.jefit.com/exercises/200/Cable-Standing-Leg-Curl,Upper Legs,Strength,Machine - Strength,https://www.jefit.com/images/exercises/1080_664/800.jpg,https://www.jefit.com/images/exercises/1080_664/801.jpg
352,Cable Standing Lift,https://www.jefit.com/exercises/797/Cable-Standing-Lift,Abs,Strength,Machine - Strength,https://www.jefit.com/images/exercises/1080_664/3188.jpg,https://www.jefit.com/images/exercises/1080_664/3189.jpg
353,Cable Standing Oblique Crunch,https://www.jefit.com/exercises/995/Cable-Standing-Oblique-Crunch,Abs,Strength,Machine - Strength,https://www.jefit.com/images/exercises/1080_664/3980.jpg,https://www.jefit.com/images/exercises/1080_664/3981.jpg
354,Cable Standing One-Arm Bicep Curl,https://www.jefit.com/exercises/273/Cable-Standing-One-Arm-Bicep-Curl,Biceps,Strength,Machine - Strength,https://www.jefit.com/images/exercises/1080_664/1092.jpg,https://www.jefit.com/images/exercises/1080_664/1093.jpg
355,Cable Standing One-Arm Row,https://www.jefit.com/exercises/1052/Cable-Standing-One-Arm-Row,Back,Strength,Machine - Strength,https://www.jefit.com/images/exercises/1080_664/4208.jpg,https://www.jefit.com/images/exercises/1080_664/4209.jpg
356,Cable Standing One-Arm Tricep Extension,https://www.jefit.com/exercises/246/Cable-Standing-One-Arm-Tricep-Extension,Triceps,Strength,Machine - Strength,https://www.jefit.com/images/exercises/1080_664/984.jpg,https://www.jefit.com/images/exercises/1080_664/985.jpg
357,Cable Standing Reverse Curl,https://www.jefit.com/exercises/1096/Cable-Standing-Reverse-Curl,Forearm,Strength,Machine - Strength,https://www.jefit.com/images/exercises/1080_664/416.jpg,https://www.jefit.com/images/exercises/1080_664/417.jpg
358,Cable Standing Row,https://www.jefit.com/exercises/701/Cable-Standing-Row,Back,Strength,Machine - Strength,https://www.jefit.com/images/exercises/1080_664/2804.jpg,https://www.jefit.com/images/exercises/1080_664/2805.jpg
359,Cable Straight Arm Crossover,https://www.jefit.com/exercises/1056/Cable-Straight-Arm-Crossover,Chest,Strength,Machine - Strength,https://www.jefit.com/images/exercises/1080_664/4224.jpg,https://www.jefit.com/images/exercises/1080_664/4225.jpg
360,Cable Straight Arm Pushdown,https://www.jefit.com/exercises/183/Cable-Straight-Arm-Pushdown,Back,Strength,Machine - Strength,https://www.jefit.com/images/exercises/1080_664/732.jpg,https://www.jefit.com/images/exercises/1080_664/733.jpg
361,Cable Straight Crossover,https://www.jefit.com/exercises/1292/Cable-Straight-Crossover,Back,Strength,Machine - Strength,https://www.jefit.com/images/exercises/1080_664/5168.jpg,https://www.jefit.com/images/exercises/1080_664/5169.jpg
362,Cable Supine Bicep Curl,https://www.jefit.com/exercises/261/Cable-Supine-Bicep-Curl,Biceps,Strength,Machine - Strength,https://www.jefit.com/images/exercises/1080_664/1044.jpg,https://www.jefit.com/images/exercises/1080_664/1045.jpg
363,Cable Supine Close Grip Bicep Curl,https://www.jefit.com/exercises/260/Cable-Supine-Close-Grip-Bicep-Curl,Biceps,Strength,Machine - Strength,https://www.jefit.com/images/exercises/1080_664/1040.jpg,https://www.jefit.com/images/exercises/1080_664/1041.jpg
364,Cable Supine Front Raise,https://www.jefit.com/exercises/1119/Cable-Supine-Front-Raise,Shoulders,Strength,Machine - Strength,https://www.jefit.com/images/exercises/1080_664/4476.jpg,https://www.jefit.com/images/exercises/1080_664/4477.jpg
365,Cable Supine Pullover,https://www.jefit.com/exercises/760/Cable-Supine-Pullover,Shoulders,Strength,Machine - Strength,https://www.jefit.com/images/exercises/1080_664/3040.jpg,https://www.jefit.com/images/exercises/1080_664/3041.jpg
366,Cable Supine Shrug,https://www.jefit.com/exercises/1158/Cable-Supine-Shrug,Back,Strength,Machine - Strength,https://www.jefit.com/images/exercises/1080_664/4632.jpg,https://www.jefit.com/images/exercises/1080_664/4633.jpg
367,Cable Supine Upright Row,https://www.jefit.com/exercises/1156/Cable-Supine-Upright-Row,Shoulders,Strength,Machine - Strength,https://www.jefit.com/images/exercises/1080_664/4624.jpg,https://www.jefit.com/images/exercises/1080_664/4625.jpg
368,Cable Tricep Extension,https://www.jefit.com/exercises/224/Cable-Tricep-Extension,Triceps,Strength,Machine - Strength,https://www.jefit.com/images/exercises/1080_664/620.jpg,https://www.jefit.com/images/exercises/1080_664/621.jpg
369,Cable Tricep Incline Pushdown,https://www.jefit.com/exercises/228/Cable-Tricep-Incline-Pushdown,Triceps,Strength,Machine - Strength,https://www.jefit.com/images/exercises/1080_664/912.jpg,https://www.jefit.com/images/exercises/1080_664/913.jpg
370,Cable Tricep Kickback,https://www.jefit.com/exercises/1164/Cable-Tricep-Kickback,Triceps,Strength,Machine - Strength,https://www.jefit.com/images/exercises/1080_664/4656.jpg,https://www.jefit.com/images/exercises/1080_664/4657.jpg
371,Cable Tricep Kickback,https://www.jefit.com/exercises/1192/Cable-Tricep-Kickback,Triceps,Strength,Machine - Strength,https://www.jefit.com/images/exercises/1080_664/4768.jpg,https://www.jefit.com/images/exercises/1080_664/4769.jpg
372,Cable Tricep Pushdown,https://www.jefit.com/exercises/250/Cable-Tricep-Pushdown,Triceps,Strength,Machine - Strength,https://www.jefit.com/images/exercises/1080_664/1000.jpg,https://www.jefit.com/images/exercises/1080_664/1001.jpg
373,Cable Twist on Stability Ball,https://www.jefit.com/exercises/742/Cable-Twist-on-Stability-Ball,Abs,Strength,Machine - Strength,https://www.jefit.com/images/exercises/1080_664/2968.jpg,https://www.jefit.com/images/exercises/1080_664/2969.jpg
374,Cable Underhand Pulldown,https://www.jefit.com/exercises/184/Cable-Underhand-Pulldown,Back,Strength,Machine - Strength,https://www.jefit.com/images/exercises/1080_664/4992.jpg,https://www.jefit.com/images/exercises/1080_664/4993.jpg
375,Cable Upper Chest Crossover,https://www.jefit.com/exercises/1058/Cable-Upper-Chest-Crossover,Chest,Strength,Machine - Strength,https://www.jefit.com/images/exercises/1080_664/4232.jpg,https://www.jefit.com/images/exercises/1080_664/4233.jpg
376,Cable Upper Row,https://www.jefit.com/exercises/702/Cable-Upper-Row,Back,Strength,Machine - Strength,https://www.jefit.com/images/exercises/1080_664/2808.jpg,https://www.jefit.com/images/exercises/1080_664/2809.jpg
