,Exercise,URL,Picture_A,Picture_B,Muscle,Video,Main Muscle Group,Detailed Muscle Group,Type,Mechanics,Equipment,Difficulty
192,Barbell Wide Stance Squat,https://www.jefit.com/exercises/218/Barbell-Wide-Stance-Squat,https://www.jefit.com/images/exercises/1080_664/872.jpg,https://www.jefit.com/images/exercises/1080_664/873.jpg,https://www.jefit.com/images/exercises/b8.jpg,http://player.vimeo.com/external/160273843.sd.mp4?s=e00b22cb49b8b26eae503fcb1dd7e77e13d81b7d&profile_id=165&oauth2_token_id=435967617,Upper Legs,Hamstrings,Strength,Compound,Barbell,Intermediate
193,Barbell Wide Stance Stiff-Leg Deadlift,https://www.jefit.com/exercises/958/Barbell-Wide-Stance-Stiff-Leg-Deadlift,https://www.jefit.com/images/exercises/1080_664/3832.jpg,https://www.jefit.com/images/exercises/1080_664/3833.jpg,https://www.jefit.com/images/exercises/b1.jpg,http://player.vimeo.com/external/160306822.sd.mp4?s=f6d9ab30f99c2652f504d83cc41871fbe0b6e129&profile_id=164&oauth2_token_id=435967617,Back,,Olympic Weight Lifting,Compound,Barbell,Intermediate
194,Barbell Zercher Squat,https://www.jefit.com/exercises/219/Barbell-Zercher-Squat,https://www.jefit.com/images/exercises/1080_664/876.jpg,https://www.jefit.com/images/exercises/1080_664/877.jpg,https://www.jefit.com/images/exercises/b8.jpg,http://player.vimeo.com/external/160273833.hd.mp4?s=099fd751d4a3fbbef1b54281cc99d01c1b35f4b4&profile_id=119&oauth2_token_id=435967617,Upper Legs,Hamstrings,Strength,Compound,Barbell,Intermediate
195,Barbell Zercher Squat,https://www.jefit.com/exercises/498/Barbell-Zercher-Squat,https://www.jefit.com/images/exercises/1080_664/1992.jpg,https://www.jefit.com/images/exercises/1080_664/1993.jpg,https://www.jefit.com/images/exercises/b8.jpg,http://player.vimeo.com/external/160296224.sd.mp4?s=320a5609f7a19b1bf04e3a2d8283c1365680b4b2&profile_id=165&oauth2_token_id=435967617,Upper Legs,Hamstrings,Strength,Compound,Barbell,Expert
196,Bench Crunch,https://www.jefit.com/exercises/302/Bench-Crunch,https://www.jefit.com/images/exercises/1080_664/1208.jpg,https://www.jefit.com/images/exercises/1080_664/1209.jpg,https://www.jefit.com/images/exercises/b0.jpg,http://player.vimeo.com/external/160280966.sd.mp4?s=8411939a4cccf5b5c584dd5f396ceecfbca8a27f&profile_id=164&oauth2_token_id=435967617,Abs,,Strength,Isolation,Bench,Beginner
197,Bench Dip,https://www.jefit.com/exercises/229/Bench-Dip,https://www.jefit.com/images/exercises/1080_664/916.jpg,https://www.jefit.com/images/exercises/1080_664/917.jpg,https://www.jefit.com/images/exercises/b7.jpg,http://player.vimeo.com/external/160280152.sd.mp4?s=6b9f8f6f6b3b8e97dc2252256a7020455aa8b41c&profile_id=165&oauth2_token_id=435967617,Triceps,Lower Chest,Strength,Isolation,Bench,Intermediate
198,Bench Jackknife Sit-Up ,https://www.jefit.com/exercises/966/Bench-Jackknife-Sit-Up-,https://www.jefit.com/images/exercises/1080_664/3864.jpg,https://www.jefit.com/images/exercises/1080_664/3865.jpg,https://www.jefit.com/images/exercises/b0.jpg,http://player.vimeo.com/external/160306842.sd.mp4?s=6798ab11456cdafb446cab8fa5fae18fb561bd0e&profile_id=164&oauth2_token_id=435967617,Abs,,Strength,Compound,Bench,Intermediate
199,Bench Leg Pull-In,https://www.jefit.com/exercises/68/Bench-Leg-Pull-In,https://www.jefit.com/images/exercises/1080_664/272.jpg,https://www.jefit.com/images/exercises/1080_664/273.jpg,https://www.jefit.com/images/exercises/b0.jpg,http://player.vimeo.com/external/160273594.sd.mp4?s=4b890a6926b8b446043230ebea32e16e9b529727&profile_id=164&oauth2_token_id=435967617,Abs,Lower Abs,Strength,Compound,Bench,Beginner
200,Bench Lying Cable Knee Raise ,https://www.jefit.com/exercises/985/Bench-Lying-Cable-Knee-Raise-,https://www.jefit.com/images/exercises/1080_664/3940.jpg,https://www.jefit.com/images/exercises/1080_664/3941.jpg,https://www.jefit.com/images/exercises/b0.jpg,http://player.vimeo.com/external/160306884.sd.mp4?s=d9ec9bd5bfbd7577953945850dc3d1e671b0101b&profile_id=165&oauth2_token_id=435967617,Abs,,Strength,Compound,Machine - Strength,Beginner
201,Bench Oblique Crunch,https://www.jefit.com/exercises/791/Bench-Oblique-Crunch,https://www.jefit.com/images/exercises/1080_664/3164.jpg,https://www.jefit.com/images/exercises/1080_664/3165.jpg,https://www.jefit.com/images/exercises/b0.jpg,http://player.vimeo.com/external/160305176.sd.mp4?s=87f261483e6e7590346c6d9aad85269cb4b720b1&profile_id=164&oauth2_token_id=435967617,Abs,,Strength,Isolation,Bench,Beginner
202,Bench Plank,https://www.jefit.com/exercises/990/Bench-Plank,https://www.jefit.com/images/exercises/1080_664/3960.jpg,https://www.jefit.com/images/exercises/1080_664/3961.jpg,https://www.jefit.com/images/exercises/b0.jpg,http://player.vimeo.com/external/160306901.sd.mp4?s=5a990fece04ac6e774786fcbc09388d313efc4a1&profile_id=165&oauth2_token_id=435967617,Abs,,Strength,Isolation,Bench,Intermediate
203,Bench Press Machine,https://www.jefit.com/exercises/163/Bench-Press-Machine,https://www.jefit.com/images/exercises/1080_664/652.jpg,https://www.jefit.com/images/exercises/1080_664/653.jpg,https://www.jefit.com/images/exercises/b3.jpg,,Chest,Full,Strength,Compound,Machine - Strength,Beginner
204,Bench Push-Up,https://www.jefit.com/exercises/1055/Bench-Push-Up,https://www.jefit.com/images/exercises/1080_664/4220.jpg,https://www.jefit.com/images/exercises/1080_664/4221.jpg,https://www.jefit.com/images/exercises/b3.jpg,http://player.vimeo.com/external/160307003.sd.mp4?s=770f4ae13ac626b7b02de3bfef902e01bf481618&profile_id=164&oauth2_token_id=435967617,Chest,,Strength,Compound,Bench,Intermediate
205,Bench Supine Leg Raise,https://www.jefit.com/exercises/73/Bench-Supine-Leg-Raise,https://www.jefit.com/images/exercises/1080_664/292.jpg,https://www.jefit.com/images/exercises/1080_664/293.jpg,https://www.jefit.com/images/exercises/b0.jpg,http://player.vimeo.com/external/160273598.hd.mp4?s=2040b60edb03281109dcbc25490671078abebda7&profile_id=113&oauth2_token_id=435967617,Abs,Lower Abs,Strength,Isolation,Bench,Beginner
206,Bent Knee Hip Raise,https://www.jefit.com/exercises/306/Bent-Knee-Hip-Raise,https://www.jefit.com/images/exercises/1080_664/1224.jpg,https://www.jefit.com/images/exercises/1080_664/1225.jpg,https://www.jefit.com/images/exercises/b0.jpg,,Abs,Lower Abs,Strength,Compound,Body Only,Beginner
207,Bent Knee Hundreds,https://www.jefit.com/exercises/642/Bent-Knee-Hundreds,https://www.jefit.com/images/exercises/1080_664/2568.jpg,https://www.jefit.com/images/exercises/1080_664/2569.jpg,https://www.jefit.com/images/exercises/b0.jpg,http://player.vimeo.com/external/160297397.sd.mp4?s=aee06d20077ecdd13ac7f49f1c37246c2dee17af&profile_id=165&oauth2_token_id=435967617,Abs,,Strength,Isolation,Body Only,Intermediate
208,Bent Knee Side Angle Pose,https://www.jefit.com/exercises/502/Bent-Knee-Side-Angle-Pose,https://www.jefit.com/images/exercises/1080_664/2008.jpg,https://www.jefit.com/images/exercises/1080_664/2009.jpg,https://www.jefit.com/images/exercises/b0.jpg,http://player.vimeo.com/external/160296232.hd.mp4?s=4bb1673d28fd264c7c3949e7282b06f79f305c49&profile_id=113&oauth2_token_id=435967617,Abs,,Stretching,Compound,Body Only,Beginner
209,Bird Dog ,https://www.jefit.com/exercises/666/Bird-Dog-,https://www.jefit.com/images/exercises/1080_664/2664.jpg,https://www.jefit.com/images/exercises/1080_664/2665.jpg,https://www.jefit.com/images/exercises/b0.jpg,http://player.vimeo.com/external/160297495.hd.mp4?s=d94523840d3b2164f2439d90b90164efad02237c&profile_id=119&oauth2_token_id=435967617,Abs,,Strength,Compound,Body Only,Intermediate
210,Boat Pose,https://www.jefit.com/exercises/500/Boat-Pose,https://www.jefit.com/images/exercises/1080_664/2000.jpg,https://www.jefit.com/images/exercises/1080_664/2001.jpg,https://www.jefit.com/images/exercises/b0.jpg,http://player.vimeo.com/external/160296172.hd.mp4?s=761ff12360933bc537f209d70fba5f434f5485d3&profile_id=119&oauth2_token_id=435967617,Abs,,Stretching,Compound,Body Only,Beginner
211,Bodyweight Lunge,https://www.jefit.com/exercises/1215/Bodyweight-Lunge,https://www.jefit.com/images/exercises/1080_664/4860.jpg,https://www.jefit.com/images/exercises/1080_664/4861.jpg,https://www.jefit.com/images/exercises/b8.jpg,http://player.vimeo.com/external/160307257.sd.mp4?s=c125486d2fd1143c88192b735ecf823ac380041b&profile_id=164&oauth2_token_id=435967617,Upper Legs,,Strength,Isolation,Body Only,Intermediate
212,Bodyweight Rear Lunge,https://www.jefit.com/exercises/1219/Bodyweight-Rear-Lunge,https://www.jefit.com/images/exercises/1080_664/4876.jpg,https://www.jefit.com/images/exercises/1080_664/4877.jpg,https://www.jefit.com/images/exercises/b8.jpg,http://player.vimeo.com/external/160307255.sd.mp4?s=cb21759f9244cb79309bd5797584b8c1c5d7a00e&profile_id=164&oauth2_token_id=435967617,Upper Legs,,Strength,Compound,Body Only,Beginner
213,Bodyweight Side Lunge,https://www.jefit.com/exercises/1220/Bodyweight-Side-Lunge,https://www.jefit.com/images/exercises/1080_664/4880.jpg,https://www.jefit.com/images/exercises/1080_664/4881.jpg,https://www.jefit.com/images/exercises/b8.jpg,http://player.vimeo.com/external/160307260.hd.mp4?s=0e65bb539076048cff5558989a40ef2bc362c3c3&profile_id=113&oauth2_token_id=435967617,Upper Legs,,Strength,Compound,Body Only,Beginner
214,Bodyweight Single-Leg Calf Raise,https://www.jefit.com/exercises/1240/Bodyweight-Single-Leg-Calf-Raise,https://www.jefit.com/images/exercises/1080_664/4944.jpg,https://www.jefit.com/images/exercises/1080_664/4945.jpg,https://www.jefit.com/images/exercises/b9.jpg,http://player.vimeo.com/external/160307288.sd.mp4?s=84d918228c2b5c9c7edf2520276051fde271ff8f&profile_id=164&oauth2_token_id=435967617,Lower Legs,,Strength,Isolation,Body Only,Beginner
215,Bodyweight Squat,https://www.jefit.com/exercises/493/Bodyweight-Squat,https://www.jefit.com/images/exercises/1080_664/1972.jpg,https://www.jefit.com/images/exercises/1080_664/1973.jpg,https://www.jefit.com/images/exercises/b8.jpg,http://player.vimeo.com/external/160296227.sd.mp4?s=5ee39b1b1b68a7911dc64b5e43419823bce9f8d9&profile_id=165&oauth2_token_id=435967617,Upper Legs,Hamstrings,Strength,Compound,Body Only,Beginner
216,Bodyweight Standing Calf Raise,https://www.jefit.com/exercises/1227/Bodyweight-Standing-Calf-Raise,https://www.jefit.com/images/exercises/1080_664/4908.jpg,https://www.jefit.com/images/exercises/1080_664/4909.jpg,https://www.jefit.com/images/exercises/b9.jpg,http://player.vimeo.com/external/160307275.hd.mp4?s=e60dcc5494d72b26197caa751959081fc0d72eb8&profile_id=119&oauth2_token_id=435967617,Lower Legs,,Strength,Isolation,Body Only,Beginner
217,Bodyweight Step-Up,https://www.jefit.com/exercises/1225/Bodyweight-Step-Up,https://www.jefit.com/images/exercises/1080_664/4900.jpg,https://www.jefit.com/images/exercises/1080_664/4901.jpg,https://www.jefit.com/images/exercises/b8.jpg,,Upper Legs,,Strength,Compound,Bench,Beginner
218,Bodyweight Walking Lunge,https://www.jefit.com/exercises/1222/Bodyweight-Walking-Lunge,https://www.jefit.com/images/exercises/1080_664/4888.jpg,https://www.jefit.com/images/exercises/1080_664/4889.jpg,https://www.jefit.com/images/exercises/b8.jpg,http://player.vimeo.com/external/160307261.sd.mp4?s=0085f23642b2349b658149dbe62018a5a54f1410&profile_id=164&oauth2_token_id=435967617,Upper Legs,,Strength,Compound,Body Only,Beginner
219,Bodyweight Wall Squat,https://www.jefit.com/exercises/1209/Bodyweight-Wall-Squat,https://www.jefit.com/images/exercises/1080_664/4836.jpg,https://www.jefit.com/images/exercises/1080_664/4837.jpg,https://www.jefit.com/images/exercises/b8.jpg,http://player.vimeo.com/external/160307245.sd.mp4?s=94a970fbbc3f12267a3a21e0d73f4dcff65255b1&profile_id=164&oauth2_token_id=435967617,Upper Legs,,Strength,Compound,Body Only,Intermediate
220,Bow Pose,https://www.jefit.com/exercises/501/Bow-Pose,https://www.jefit.com/images/exercises/1080_664/2004.jpg,https://www.jefit.com/images/exercises/1080_664/2005.jpg,https://www.jefit.com/images/exercises/b0.jpg,http://player.vimeo.com/external/160296181.hd.mp4?s=a5488487d74f25997f82db4c276a604a83b541e8&profile_id=119&oauth2_token_id=435967617,Abs,,Stretching,Compound,Body Only,Intermediate
221,Box Jump Multiple Response,https://www.jefit.com/exercises/897/Box-Jump-Multiple-Response,https://www.jefit.com/images/exercises/1080_664/3588.jpg,https://www.jefit.com/images/exercises/1080_664/3589.jpg,https://www.jefit.com/images/exercises/b8.jpg,http://player.vimeo.com/external/160305321.hd.mp4?s=63bd78ebf200786d06bfe4659dcc33a72d7efbe0&profile_id=113&oauth2_token_id=435967617,Upper Legs,Hamstrings,Strength,Compound,Bench,Intermediate
222,Box Jump with Single-Leg Stabilization,https://www.jefit.com/exercises/609/Box-Jump-with-Single-Leg-Stabilization,https://www.jefit.com/images/exercises/1080_664/2436.jpg,https://www.jefit.com/images/exercises/1080_664/2437.jpg,https://www.jefit.com/images/exercises/b9.jpg,http://player.vimeo.com/external/160297107.sd.mp4?s=e81018ed4d131777906123318654561db163eef2&profile_id=164&oauth2_token_id=435967617,Lower Legs,,Strength,Compound,Bench,Intermediate
223,Box Side to Side Shuffle,https://www.jefit.com/exercises/934/Box-Side-to-Side-Shuffle,https://www.jefit.com/images/exercises/1080_664/3736.jpg,https://www.jefit.com/images/exercises/1080_664/3737.jpg,https://www.jefit.com/images/exercises/b8.jpg,,Upper Legs,,Strength,Compound,Others,Beginner
224,Boxing,https://www.jefit.com/exercises/309/Boxing,https://www.jefit.com/images/exercises/1080_664/1236.jpg,https://www.jefit.com/images/exercises/1080_664/1236.jpg,https://www.jefit.com/images/exercises/b10.jpg,,Cardio,,Cardio,Isolation,Others,Beginner
225,Bridge,https://www.jefit.com/exercises/194/Bridge,https://www.jefit.com/images/exercises/1080_664/776.jpg,https://www.jefit.com/images/exercises/1080_664/777.jpg,https://www.jefit.com/images/exercises/b5.jpg,http://player.vimeo.com/external/160273792.sd.mp4?s=77efea6c0a23c47ca6d949be3f9ab026a901da75&profile_id=164&oauth2_token_id=435967617,Glutes,Lower Back,Strength,Isolation,Body Only,Beginner
226,Cable Bent-Over Lateral Pulley ,https://www.jefit.com/exercises/1278/Cable-Bent-Over-Lateral-Pulley-,https://www.jefit.com/images/exercises/1080_664/5112.jpg,https://www.jefit.com/images/exercises/1080_664/5113.jpg,https://www.jefit.com/images/exercises/b6.jpg,http://player.vimeo.com/external/160307354.sd.mp4?s=1866b0cafdc8739b51f3b1b180eb42e5b184cb40&profile_id=164&oauth2_token_id=435967617,Shoulders,,Strength,Isolation,Machine - Strength,Beginner
227,Cable Biceps Curl,https://www.jefit.com/exercises/102/Cable-Biceps-Curl,https://www.jefit.com/images/exercises/1080_664/408.jpg,https://www.jefit.com/images/exercises/1080_664/409.jpg,https://www.jefit.com/images/exercises/b2.jpg,http://player.vimeo.com/external/160273658.sd.mp4?s=77ff94ac131e82c5f2ccc4b77525b7fbeed552d5&profile_id=164&oauth2_token_id=435967617,Biceps,,Strength,Isolation,Machine - Strength,Beginner
228,Cable Calf Raise,https://www.jefit.com/exercises/1228/Cable-Calf-Raise,https://www.jefit.com/images/exercises/1080_664/4912.jpg,https://www.jefit.com/images/exercises/1080_664/4913.jpg,https://www.jefit.com/images/exercises/b9.jpg,http://player.vimeo.com/external/160307284.hd.mp4?s=cc0690007a9b3aa1bf66513bbd48d9b7ba0161ef&profile_id=113&oauth2_token_id=435967617,Lower Legs,,Strength,Isolation,Machine - Strength,Beginner
229,Cable Close Grip Curl,https://www.jefit.com/exercises/1015/Cable-Close-Grip-Curl,https://www.jefit.com/images/exercises/1080_664/4060.jpg,https://www.jefit.com/images/exercises/1080_664/4061.jpg,https://www.jefit.com/images/exercises/b2.jpg,http://player.vimeo.com/external/160306922.sd.mp4?s=a197353726ea7ed456e11e96000ed498d8357138&profile_id=164&oauth2_token_id=435967617,Biceps,,Strength,Isolation,Machine - Strength,Beginner
230,Cable Concentration Curl,https://www.jefit.com/exercises/1013/Cable-Concentration-Curl,https://www.jefit.com/images/exercises/1080_664/4052.jpg,https://www.jefit.com/images/exercises/1080_664/4053.jpg,https://www.jefit.com/images/exercises/b2.jpg,http://player.vimeo.com/external/160306905.sd.mp4?s=4bdbeb5402a017eb0a6f7657234d70d42cd3b228&profile_id=165&oauth2_token_id=435967617,Biceps,,Strength,Isolation,Machine - Strength,Beginner
231,Cable Cross-Over,https://www.jefit.com/exercises/14/Cable-Cross-Over,https://www.jefit.com/images/exercises/1080_664/56.jpg,https://www.jefit.com/images/exercises/1080_664/57.jpg,https://www.jefit.com/images/exercises/b3.jpg,http://player.vimeo.com/external/160273328.hd.mp4?s=2554f9445eb76f610830057927f373ee8195e957&profile_id=119&oauth2_token_id=435967617,Chest,Inner Chest,Strength,Isolation,Machine - Strength,Beginner
232,Cable Crunch,https://www.jefit.com/exercises/79/Cable-Crunch,https://www.jefit.com/images/exercises/1080_664/316.jpg,https://www.jefit.com/images/exercises/1080_664/317.jpg,https://www.jefit.com/images/exercises/b0.jpg,http://player.vimeo.com/external/160273605.hd.mp4?s=bc30c385343d5631f0e487bd789bc9d63598a033&profile_id=113&oauth2_token_id=435967617,Abs,Lower Abs,Strength,Isolation,Machine - Strength,Beginner
233,Cable Crunch Rotation,https://www.jefit.com/exercises/789/Cable-Crunch-Rotation,https://www.jefit.com/images/exercises/1080_664/3156.jpg,https://www.jefit.com/images/exercises/1080_664/3157.jpg,https://www.jefit.com/images/exercises/b0.jpg,http://player.vimeo.com/external/160305172.sd.mp4?s=4c4d840d90a6903a4c65360ea503e6d13d8a5040&profile_id=164&oauth2_token_id=435967617,Abs,,Strength,Isolation,Machine - Strength,Intermediate
234,Cable Deadlift,https://www.jefit.com/exercises/785/Cable-Deadlift,https://www.jefit.com/images/exercises/1080_664/3140.jpg,https://www.jefit.com/images/exercises/1080_664/3141.jpg,https://www.jefit.com/images/exercises/b1.jpg,http://player.vimeo.com/external/160305167.sd.mp4?s=18f2cd1a0ca7996932d7f903668284c2a7f10dc0&profile_id=164&oauth2_token_id=435967617,Back,,Strength,Isolation,Machine - Strength,Intermediate
235,Cable Decline Chest Fly,https://www.jefit.com/exercises/1279/Cable-Decline-Chest-Fly,https://www.jefit.com/images/exercises/1080_664/5116.jpg,https://www.jefit.com/images/exercises/1080_664/5117.jpg,https://www.jefit.com/images/exercises/b3.jpg,http://player.vimeo.com/external/160307353.hd.mp4?s=fe060b165a6907a6214d49da0f823f3f235fa224&profile_id=113&oauth2_token_id=435967617,Chest,,Strength,Isolation,Bench,Intermediate
236,Cable Decline One-Arm Chest Fly,https://www.jefit.com/exercises/1280/Cable-Decline-One-Arm-Chest-Fly,https://www.jefit.com/images/exercises/1080_664/5120.jpg,https://www.jefit.com/images/exercises/1080_664/5121.jpg,https://www.jefit.com/images/exercises/b3.jpg,http://player.vimeo.com/external/160307355.hd.mp4?s=68446ca18fa02eb55b2365c64b3f93204901f1a3&profile_id=113&oauth2_token_id=435967617,Chest,,Strength,Isolation,Bench,Intermediate
237,Cable Decline One-Arm Press,https://www.jefit.com/exercises/731/Cable-Decline-One-Arm-Press,https://www.jefit.com/images/exercises/1080_664/2924.jpg,https://www.jefit.com/images/exercises/1080_664/2925.jpg,https://www.jefit.com/images/exercises/b3.jpg,http://player.vimeo.com/external/160305012.sd.mp4?s=d99e8a1ab1ecd253cbcac4789cab698509c0249d&profile_id=164&oauth2_token_id=435967617,Chest,,Strength,Isolation,Bench,Beginner
238,Cable Decline Press,https://www.jefit.com/exercises/730/Cable-Decline-Press,https://www.jefit.com/images/exercises/1080_664/2920.jpg,https://www.jefit.com/images/exercises/1080_664/2921.jpg,https://www.jefit.com/images/exercises/b3.jpg,http://player.vimeo.com/external/160304990.hd.mp4?s=42bb54d9eb95e063d3cf727deb54b11071fcdab9&profile_id=113&oauth2_token_id=435967617,Chest,,Strength,Compound,Bench,Beginner
239,Cable Decline Pullover,https://www.jefit.com/exercises/759/Cable-Decline-Pullover,https://www.jefit.com/images/exercises/1080_664/3036.jpg,https://www.jefit.com/images/exercises/1080_664/3037.jpg,https://www.jefit.com/images/exercises/b6.jpg,http://player.vimeo.com/external/160305116.hd.mp4?s=3407dbd7590fc4545a9c31a807246c04b503b1b8&profile_id=119&oauth2_token_id=435967617,Shoulders,,Strength,Compound,Bench,Intermediate
240,Cable Drag Curl,https://www.jefit.com/exercises/1014/Cable-Drag-Curl,https://www.jefit.com/images/exercises/1080_664/4056.jpg,https://www.jefit.com/images/exercises/1080_664/4057.jpg,https://www.jefit.com/images/exercises/b2.jpg,,Biceps,,Strength,Isolation,Machine - Strength,Intermediate
241,Cable Elevated Row,https://www.jefit.com/exercises/816/Cable-Elevated-Row,https://www.jefit.com/images/exercises/1080_664/3264.jpg,https://www.jefit.com/images/exercises/1080_664/3265.jpg,https://www.jefit.com/images/exercises/b1.jpg,http://player.vimeo.com/external/160305217.sd.mp4?s=8e91b00313bd1225e7299e6b91ba786aaf97bf95&profile_id=164&oauth2_token_id=435967617,Back,Lats,Strength,Compound,Machine - Strength,Intermediate
242,Cable External Rotation,https://www.jefit.com/exercises/873/Cable-External-Rotation,https://www.jefit.com/images/exercises/1080_664/3492.jpg,https://www.jefit.com/images/exercises/1080_664/3493.jpg,https://www.jefit.com/images/exercises/b6.jpg,http://player.vimeo.com/external/160305283.sd.mp4?s=9735521b74362b10ef17ec59f6cb99a6932eca1d&profile_id=164&oauth2_token_id=435967617,Shoulders,,Strength,Compound,Machine - Strength,Beginner
243,Cable Flat Bench Fly,https://www.jefit.com/exercises/15/Cable-Flat-Bench-Fly,https://www.jefit.com/images/exercises/1080_664/60.jpg,https://www.jefit.com/images/exercises/1080_664/61.jpg,https://www.jefit.com/images/exercises/b3.jpg,http://player.vimeo.com/external/160273327.sd.mp4?s=919d9016fc451528417c4dd8fc94ba29f82ba7d4&profile_id=165&oauth2_token_id=435967617,Chest,Outer Chest,Strength,Isolation,Machine - Strength,Beginner
244,Cable Front Raise,https://www.jefit.com/exercises/16/Cable-Front-Raise,https://www.jefit.com/images/exercises/1080_664/64.jpg,https://www.jefit.com/images/exercises/1080_664/65.jpg,https://www.jefit.com/images/exercises/b6.jpg,http://player.vimeo.com/external/160273332.hd.mp4?s=f6bc267df0b63849bd16e57c149a723f84d028ef&profile_id=119&oauth2_token_id=435967617,Shoulders,,Strength,Compound,Machine - Strength,Beginner
245,Cable High Cross-Over,https://www.jefit.com/exercises/1296/Cable-High-Cross-Over,https://www.jefit.com/images/exercises/1080_664/56.jpg,https://www.jefit.com/images/exercises/1080_664/57.jpg,https://www.jefit.com/images/exercises/b3.jpg,http://player.vimeo.com/external/160273328.hd.mp4?s=2554f9445eb76f610830057927f373ee8195e957&profile_id=119&oauth2_token_id=435967617,Chest,,Strength,Isolation,Machine - Strength,Beginner
246,Cable High Curl,https://www.jefit.com/exercises/263/Cable-High-Curl,https://www.jefit.com/images/exercises/1080_664/1040.jpg,https://www.jefit.com/images/exercises/1080_664/1041.jpg,https://www.jefit.com/images/exercises/b2.jpg,http://player.vimeo.com/external/160280337.sd.mp4?s=93a341c07f52ac7573e5c60607e5c8ef2f670aad&profile_id=165&oauth2_token_id=435967617,Biceps,,Strength,Compound,Machine - Strength,Intermediate
247,Cable High Pulley Tricep Extension,https://www.jefit.com/exercises/1170/Cable-High-Pulley-Tricep-Extension,https://www.jefit.com/images/exercises/1080_664/4680.jpg,https://www.jefit.com/images/exercises/1080_664/4681.jpg,https://www.jefit.com/images/exercises/b7.jpg,http://player.vimeo.com/external/160307183.hd.mp4?s=72dc0c92fce4a874374ce1fb4365b7d387638332&profile_id=119&oauth2_token_id=435967617,Triceps,,Strength,Isolation,Machine - Strength,Beginner
248,Cable Incline Bench Row,https://www.jefit.com/exercises/1038/Cable-Incline-Bench-Row,https://www.jefit.com/images/exercises/1080_664/4152.jpg,https://www.jefit.com/images/exercises/1080_664/4153.jpg,https://www.jefit.com/images/exercises/b1.jpg,http://player.vimeo.com/external/160306963.sd.mp4?s=e3f233f75549df3f6497a1379668bbf6cfc95cc8&profile_id=165&oauth2_token_id=435967617,Back,,Strength,Compound,Bench,Intermediate
249,Cable Incline Curl ,https://www.jefit.com/exercises/1031/Cable-Incline-Curl-,https://www.jefit.com/images/exercises/1080_664/4124.jpg,https://www.jefit.com/images/exercises/1080_664/4125.jpg,https://www.jefit.com/images/exercises/b2.jpg,http://player.vimeo.com/external/160306957.sd.mp4?s=af027122de071c22f457f5bea5158c12fa958f12&profile_id=164&oauth2_token_id=435967617,Biceps,,Strength,Isolation,Bench,Intermediate
250,Cable Incline Fly,https://www.jefit.com/exercises/17/Cable-Incline-Fly,https://www.jefit.com/images/exercises/1080_664/68.jpg,https://www.jefit.com/images/exercises/1080_664/69.jpg,https://www.jefit.com/images/exercises/b3.jpg,http://player.vimeo.com/external/160273333.hd.mp4?s=ba4c056cbcaba53e9c266e15c9962127b24582e5&profile_id=119&oauth2_token_id=435967617,Chest,Inner Chest,Strength,Isolation,Machine - Strength,Beginner
251,Cable Incline Press,https://www.jefit.com/exercises/728/Cable-Incline-Press,https://www.jefit.com/images/exercises/1080_664/2912.jpg,https://www.jefit.com/images/exercises/1080_664/2913.jpg,https://www.jefit.com/images/exercises/b3.jpg,http://player.vimeo.com/external/160304995.sd.mp4?s=59c4ca56b9a120622acbfa429853fef5b933cd66&profile_id=164&oauth2_token_id=435967617,Chest,,Strength,Compound,Bench,Beginner
252,Cable Incline Pullover,https://www.jefit.com/exercises/758/Cable-Incline-Pullover,https://www.jefit.com/images/exercises/1080_664/1408.jpg,https://www.jefit.com/images/exercises/1080_664/1409.jpg,https://www.jefit.com/images/exercises/b6.jpg,http://player.vimeo.com/external/160280993.sd.mp4?s=4ee88c12b3ea66b054b471583dc88ca839c8c50c&profile_id=165&oauth2_token_id=435967617,Shoulders,,Strength,Isolation,Bench,Intermediate
253,Cable Incline Pushdown,https://www.jefit.com/exercises/352/Cable-Incline-Pushdown,https://www.jefit.com/images/exercises/1080_664/1408.jpg,https://www.jefit.com/images/exercises/1080_664/1409.jpg,https://www.jefit.com/images/exercises/b1.jpg,http://player.vimeo.com/external/160280993.sd.mp4?s=4ee88c12b3ea66b054b471583dc88ca839c8c50c&profile_id=165&oauth2_token_id=435967617,Back,Traps,Strength,Compound,Machine - Strength,Beginner
254,Cable Incline Tricep Extension,https://www.jefit.com/exercises/1172/Cable-Incline-Tricep-Extension,https://www.jefit.com/images/exercises/1080_664/908.jpg,https://www.jefit.com/images/exercises/1080_664/909.jpg,https://www.jefit.com/images/exercises/b7.jpg,http://player.vimeo.com/external/160273834.sd.mp4?s=1f7b0a52d29267bcc451764116a0de55d18a19e7&profile_id=164&oauth2_token_id=435967617,Triceps,,Strength,Isolation,Bench,Intermediate
255,Cable Incline Tricep Extension,https://www.jefit.com/exercises/227/Cable-Incline-Tricep-Extension,https://www.jefit.com/images/exercises/1080_664/908.jpg,https://www.jefit.com/images/exercises/1080_664/909.jpg,https://www.jefit.com/images/exercises/b7.jpg,http://player.vimeo.com/external/160273834.sd.mp4?s=1f7b0a52d29267bcc451764116a0de55d18a19e7&profile_id=164&oauth2_token_id=435967617,Triceps,,Strength,Isolation,Machine - Strength,Intermediate
